aX,aY,aZ,gX,gY,gZ
-0.238,1.373,1.283,-86.792,-6.897,14.771
-0.133,1.407,0.897,-61.279,-35.461,25.085
-0.073,1.330,0.688,-61.096,-50.049,30.640
0.092,1.190,0.835,-75.806,-44.739,34.790
0.254,0.990,1.158,-85.938,-20.142,27.832
0.340,0.830,1.454,-83.008,4.395,15.320
0.293,0.772,1.594,-69.153,15.381,5.554
0.178,0.713,1.619,-47.485,16.052,-2.625
0.073,0.660,1.541,-22.461,17.334,-3.967
0.043,0.549,1.427,-0.122,19.470,-2.563
0.039,0.396,1.254,21.545,10.559,2.991
0.012,0.216,0.998,38.086,-7.019,2.502
-0.050,0.190,0.748,44.800,-28.381,5.127
-0.102,0.180,0.586,40.771,-42.175,2.441
-0.124,0.136,0.505,32.043,-44.495,-1.160
-0.133,0.134,0.514,19.775,-25.513,-2.075
-0.141,0.071,0.615,7.202,-4.639,-2.075
-0.139,0.036,0.744,-1.038,5.798,-1.038
-0.110,0.030,0.870,-6.531,6.470,0.244
-0.055,0.044,0.980,-7.080,2.319,0.916
-0.037,0.028,1.055,-4.211,-2.563,0.793
-0.050,0.001,1.077,-0.061,-9.033,-0.977
-0.124,0.002,1.039,5.554,-13.611,-3.418
-0.190,0.040,0.977,10.376,-13.184,-5.005
-0.227,0.067,0.940,11.230,-9.644,-3.662
-0.199,0.053,0.964,8.789,-6.287,1.282
-0.117,0.002,1.014,6.409,-6.653,6.409
-0.062,-0.044,1.040,6.531,-10.193,7.690
-0.035,-0.045,1.031,7.141,-11.536,5.859
-0.046,-0.009,1.031,7.568,-9.277,2.625
-0.061,0.027,1.039,8.301,-3.784,-0.488
-0.076,0.052,1.085,9.583,4.028,-1.892
-0.085,0.040,1.115,12.207,9.094,-1.587
