aX,aY,aZ,gX,gY,gZ
0.276,0.803,-0.421,338.074,-39.246,14.404
0.331,0.696,-0.683,310.852,-39.246,14.771
0.330,0.566,-0.852,281.128,-44.067,9.338
0.278,0.475,-1.063,258.423,-41.931,5.066
0.252,0.454,-1.342,242.737,-32.654,6.104
0.194,0.422,-1.612,223.145,-26.917,8.301
0.164,0.295,-1.796,194.153,-27.100,10.620
0.179,0.165,-1.855,160.889,-28.870,14.465
0.217,0.084,-1.852,128.906,-28.076,15.625
0.243,0.007,-1.821,100.281,-27.100,13.000
0.266,-0.074,-1.743,78.003,-28.687,10.132
0.296,-0.123,-1.651,63.660,-28.625,7.935
0.283,-0.164,-1.580,52.734,-22.644,6.775
0.260,-0.212,-1.520,40.100,-12.146,5.737
0.237,-0.259,-1.430,24.170,-5.981,4.700
0.205,-0.357,-1.289,6.165,-5.737,3.540
0.165,-0.463,-1.136,-9.338,-5.920,2.502
0.138,-0.549,-1.026,-19.348,-2.075,2.441
0.096,-0.631,-0.952,-24.963,0.122,3.235
0.058,-0.706,-0.855,-29.541,-0.427,4.822
0.028,-0.782,-0.769,-32.471,-1.160,5.798
0.012,-0.856,-0.677,-33.569,-2.136,7.080
0.021,-0.905,-0.593,-34.424,-2.258,8.118
0.004,-0.912,-0.517,-33.752,-1.099,7.202
-0.030,-0.908,-0.472,-32.776,-1.831,3.052
-0.060,-0.921,-0.427,-31.921,-8.057,0.000
-0.064,-0.942,-0.387,-30.090,-13.306,-1.892
-0.082,-0.945,-0.350,-25.940,-13.306,-0.977
-0.088,-0.971,-0.348,-20.630,-5.005,4.028
-0.052,-0.981,-0.373,-15.503,4.944,10.254
-0.025,-0.988,-0.403,-11.658,11.292,12.878
0.002,-1.001,-0.414,-10.071,13.733,10.864
-0.001,-0.997,-0.392,-9.338,9.827,4.700
-0.025,-0.981,-0.373,-6.042,5.981,-0.244
-0.036,-0.982,-0.386,-1.282,2.441,-2.869
-0.039,-0.971,-0.416,2.197,-0.427,-4.150
-0.056,-0.941,-0.435,3.479,-0.671,-5.188
-0.064,-0.924,-0.441,3.296,1.465,-4.211
-0.069,-0.914,-0.447,3.235,5.676,-0.854
-0.033,-0.920,-0.456,3.235,9.460,4.089
-0.010,-0.898,-0.474,2.747,10.620,6.531
-0.004,-0.905,-0.490,2.563,7.690,7.080
-0.000,-0.922,-0.500,2.197,3.296,4.456
0.012,-0.923,-0.512,1.404,-1.526,0.244
0.008,-0.918,-0.521,2.136,-3.418,-3.540
0.004,-0.913,-0.541,3.296,-1.587,-5.371
0.011,-0.908,-0.553,2.441,0.061,-6.226
0.004,-0.896,-0.536,0.183,0.244,-5.920
-0.015,-0.903,-0.504,-1.892,0.366,-5.432
-0.020,-0.908,-0.478,-2.319,1.160,-3.906
-0.031,-0.894,-0.480,-0.549,2.686,-1.892
-0.031,-0.887,-0.495,0.854,3.174,-0.549
-0.031,-0.897,-0.501,1.953,1.892,0.244
-0.029,-0.892,-0.517,2.625,1.282,0.061
-0.033,-0.888,-0.535,2.136,1.953,0.122
-0.047,-0.887,-0.532,0.427,2.747,1.038
-0.044,-0.907,-0.530,-1.587,3.113,2.869
-0.023,-0.916,-0.530,-3.418,3.479,3.601
-0.023,-0.917,-0.519,-5.371,2.625,1.953
-0.031,-0.914,-0.504,-7.019,0.793,-0.061
-0.033,-0.921,-0.485,-7.202,-2.014,-0.732
-0.020,-0.927,-0.483,-5.920,-4.211,-0.916
-0.003,-0.919,-0.486,-4.150,-3.967,-1.160
-0.005,-0.901,-0.499,-2.563,-1.953,-2.319
-0.045,-0.884,-0.504,-2.319,-0.488,-2.625
-0.058,-0.885,-0.490,-4.150,-0.916,-0.427
-0.049,-0.898,-0.495,-5.249,-1.282,2.747
-0.040,-0.912,-0.492,-6.897,-0.732,4.578
-0.040,-0.917,-0.483,-8.240,0.000,4.883
-0.042,-0.923,-0.493,-8.423,0.732,4.456
-0.035,-0.932,-0.497,-9.277,1.343,4.211
0.002,-0.934,-0.482,-11.658,1.526,2.930
0.014,-0.951,-0.469,-11.536,-1.038,-0.244
0.028,-0.960,-0.461,-9.827,-4.456,-4.761
0.017,-0.951,-0.471,-7.080,-6.287,-8.240
-0.002,-0.926,-0.487,-4.822,-4.150,-9.460
-0.014,-0.901,-0.489,-4.089,-0.671,-8.667
-0.053,-0.892,-0.481,-3.845,2.991,-6.409
-0.072,-0.901,-0.452,-4.211,5.859,-2.869
-0.056,-0.919,-0.443,-3.235,7.202,1.465
-0.043,-0.927,-0.452,-1.770,6.592,3.906
-0.025,-0.932,-0.450,-1.648,4.883,3.113
-0.022,-0.938,-0.444,-1.770,1.709,0.244
-0.039,-0.930,-0.439,-1.282,-1.160,-1.892
-0.048,-0.938,-0.441,-0.610,-2.319,-2.441
-0.049,-0.939,-0.458,0.610,-2.197,-2.075
-0.049,-0.933,-0.473,1.099,-1.526,-1.831
-0.047,-0.924,-0.488,0.610,-0.671,-1.526
-0.039,-0.920,-0.493,-0.427,0.183,-0.610
-0.030,-0.920,-0.495,-1.038,1.282,0.427
-0.031,-0.904,-0.490,-1.892,3.052,1.038
-0.034,-0.911,-0.477,-2.380,4.089,1.892
-0.035,-0.914,-0.466,-2.075,3.357,2.319
-0.033,-0.929,-0.453,-2.502,2.502,1.831
-0.041,-0.929,-0.443,-2.625,1.526,0.916
-0.039,-0.934,-0.449,-2.197,0.366,0.427
-0.037,-0.934,-0.452,-2.136,-0.916,-0.061

0.200,-0.908,1.743,70.190,12.878,-13.794
0.188,-0.933,1.871,85.083,13.916,-15.442
0.195,-1.003,1.974,104.065,13.123,-21.362
0.180,-1.047,2.076,123.413,8.423,-29.114
0.164,-1.031,2.171,139.404,-1.465,-34.973
0.127,-0.996,2.221,159.119,-17.761,-42.053
0.108,-0.948,2.215,180.115,-38.452,-49.622
0.103,-0.893,2.198,198.792,-58.899,-56.885
0.075,-0.821,2.230,213.440,-70.129,-59.204
0.006,-0.787,2.254,228.455,-62.256,-55.176
-0.066,-0.721,2.297,245.605,-41.992,-46.631
-0.102,-0.609,2.277,263.123,-22.400,-35.767
-0.171,-0.443,2.147,285.278,-20.447,-30.151
-0.146,-0.278,1.900,311.707,-37.048,-29.480
-0.090,-0.078,1.544,336.304,-62.805,-30.579
0.027,0.063,1.185,354.065,-89.600,-31.311
0.150,0.250,0.843,362.061,-105.957,-32.837
0.189,0.395,0.495,363.281,-111.450,-37.903
0.230,0.472,0.247,356.506,-111.389,-40.222
0.229,0.531,0.077,344.910,-102.051,-39.429
0.179,0.599,-0.061,334.167,-81.970,-33.630
0.156,0.551,-0.210,323.486,-59.631,-23.193
0.194,0.425,-0.414,313.660,-43.335,-13.916
0.205,0.251,-0.623,302.429,-35.461,-12.024
